type,params,S1,S1_conf,ST,ST_conf
mouse,alpha,0.48341553603836906,0.01576718770472381,0.9741650247204087,0.01600091203359688
mouse,beta,-0.0009695148460766638,0.005499658611117262,0.1193183294900021,0.006537929192768432
mouse,delta,0.0024184703338625256,0.008787282862566017,0.28995155237450604,0.008412266901000345
mouse,gamma,0.016993508922635205,0.00916037000742001,0.33977900312927123,0.01431385224243659
mouse,e,0.00027359550290727535,0.0006422446265761717,0.0015670258829392019,0.00023221905998852818
mouse,f,-0.0011430140935368741,0.0031721751541286766,0.04061165155821878,0.003644110412139998
mouse,h,-0.00309955242830182,0.0025468548405565925,0.03225467230273917,0.0041111764027087485
snake,alpha,0.513263589808073,0.017133718955068353,0.9764842370798414,0.0214837988582451
snake,beta,0.005221243348828855,0.006984164331335146,0.18449255543932216,0.007637500050590416
snake,delta,0.009879496450689942,0.007863157282857577,0.2993782083118402,0.01143042595703489
snake,gamma,0.0045363865253805,0.008000932564474237,0.2939563374974006,0.010577000142149214
snake,e,-8.033417350943725e-05,0.0008780029059748651,0.0032258100915627435,0.0005283454037249281
snake,f,0.0008396537699265006,0.0036643396231492114,0.08579168615388376,0.0070432716455017625
snake,h,-0.0034926041596147453,0.0033730843537664473,0.06551041244239642,0.00646641732444744
owl,alpha,0.01532471380950459,0.011883633655210316,0.6752470906241163,0.12411354431314307
owl,beta,0.02128845900195661,0.015647843956101203,0.7626458135440176,0.12400906347065058
owl,delta,0.00016330269814957465,0.00039767517013166424,0.007383316024416632,0.0023125728381619337
owl,gamma,-0.002911064124680749,0.004379768301690391,0.09190995039499408,0.032037934541791116
owl,e,0.001062376404370944,0.0018483240284631437,0.045189926988012954,0.018566271531251007
owl,f,0.0024080313820194874,0.010656953827008299,0.6716800605558927,0.11996869956489414
owl,h,0.005402622622663547,0.00602937086495931,0.500192384649364,0.0940802179292181
