,S1,S1_conf,ST,ST_conf
0,0.05483522371373415,0.014730783862650488,0.06226619402505308,0.004484913590702807
1,0.1471435502293661,0.023590876382648184,0.1587379269062215,0.010560286615204695
2,0.10713304585543887,0.020492995856953283,0.11117233534451273,0.008170715904439182
3,0.04728526946480565,0.01634160547586359,0.04693774685656374,0.004571607430096499
4,0.11421010813675743,0.022853216551935878,0.12365983567666858,0.009401247306307918
5,7.274821559068712e-05,0.0005545157346844073,8.92385987624456e-05,1.0605103457587215e-05
6,0.00017492663500940454,0.0006409186053131312,0.00011800862496021632,3.699305086016256e-05
7,0.20631398770679085,0.02558409847449251,0.2134131792078647,0.014547637837426462
8,0.03180192488827932,0.01614794543827555,0.052352916693587936,0.004842123190431925
9,0.2739519061641058,0.034624369207432906,0.28570710922658643,0.018032837664806352
